year,wOBA,R,H,FBP,AB,fly,TB,size
2001,1.628,136,215,121,718,0.0,368,4
2002,1.956,212,401,181,1478,9.0,604,7
2003,4.218999999999999,367,691,309,2507,16.0,1041,14
2004,6.064000000000001,484,902,435,3466,37.0,1417,20
2005,6.634,723,1336,616,5099,38.0,1989,23
2006,9.220999999999997,851,1707,712,6257,43.0,2458,29
2007,9.977999999999998,1078,2100,891,7730,59.0,3000,35
2008,12.998999999999997,1513,2864,1295,10243,96.0,4141,46
2009,17.667,2098,3592,1698,12874,123.0,5651,58
2010,18.256,2426,4310,2046,15509,137.0,6566,59
2011,19.947000000000003,2302,4418,1989,16182,131.0,6387,66
2012,24.584,2505,5174,2327,19822,188.0,7332,86
2013,28.274,3197,6083,2869,22071,216.0,8952,95
2014,32.13699999999999,3985,6976,3010,23699,236.0,10574,103
2015,37.444,4469,8184,3496,28499,250.0,12258,122
2016,47.83800000000001,5526,10004,4176,33684,326.0,14939,144
2017,53.871,6464,12117,4562,41737,393.0,18625,174
2018,68.59499999999996,7810,14159,5325,49249,417.0,22315,227
