,batter_id,batter_name,year,team,height/weight,position,G,AB,H,2B,3B,HR,TB,SB,CS,BB,HBP,R,RBI,E,SO,GDP,avg,OBP,SLG,OPS,career,starting_salary,year_born,p_year,YAB,YOPS
0,1,강경학,2014,한화,180cm/72kg,내야수(우투좌타),41,86,19,2,3,1,30,0,0,13,2,11,7,6,28,1,0.221,0.337,0.349,0.6859999999999999,광주대성초-광주동성중-광주동성고,10000만원,1992년 08월 11일,2015,156.0,0.679
1,1,강경학,2015,한화,180cm/72kg,내야수(우투좌타),120,311,80,7,4,2,101,4,3,40,5,50,27,15,58,3,0.257,0.348,0.325,0.6729999999999999,광주대성초-광주동성중-광주동성고,10000만원,1992년 08월 11일,2016,81.0,0.447
2,1,강경학,2016,한화,180cm/72kg,내야수(우투좌타),46,101,16,3,2,1,26,0,0,8,2,16,7,7,30,5,0.158,0.23199999999999998,0.257,0.489,광주대성초-광주동성중-광주동성고,10000만원,1992년 08월 11일,2017,82.0,0.542
3,1,강경학,2017,한화,180cm/72kg,내야수(우투좌타),59,84,18,2,1,0,22,1,1,8,1,17,4,4,19,1,0.214,0.29,0.262,0.552,광주대성초-광주동성중-광주동성고,10000만원,1992년 08월 11일,2018,115.0,0.9209999999999999
4,2,강구성,2015,NC,180cm/82kg,외야수(우투좌타),4,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6000000000000001,관산초-부천중-야탑고-NC-상무,9000만원,1993년 06월 09일,2016,2.0,0.0
5,2,강구성,2016,NC,180cm/82kg,외야수(우투좌타),2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,관산초-부천중-야탑고-NC-상무,9000만원,1993년 06월 09일,2017,1.0,0.0
6,2,강구성,2017,NC,180cm/82kg,외야수(우투좌타),1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,관산초-부천중-야탑고-NC-상무,9000만원,1993년 06월 09일,2018,5.0,0.6000000000000001
7,3,강민국,2014,NC,176cm/80kg,내야수(우투우타),6,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,송정동초-충장중-광주제일고-동국대-NC-상무,20000만원,1992년 01월 10일,2015,2.0,0.0
8,3,강민국,2015,NC,176cm/80kg,내야수(우투우타),1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,송정동초-충장중-광주제일고-동국대-NC-상무,20000만원,1992년 01월 10일,2016,2.0,0.0
9,4,강민호,2004,롯데,185cm/100kg,포수(우투우타),3,5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,제주신광초-포철중-포철공고-(국제디지털대)-롯데,9000만원,1985년 08월 18일,2005,147.0,0.516
