batter_name,part,year,AB,H,2B,3B,HR,BB,HBP,1B,TB,FBP,avg,OBP,SLG,OPS
가르시아,전반기,2018,77,28,3,0,4,5,4,21,43,9,0.364,0.43,0.558,0.988
가르시아,후반기,2018,106,34,6,0,4,4,4,24,52,8,0.321,0.368,0.491,0.859
강경학,전반기,2011,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강경학,전반기,2014,0,0,0,0,0,2,0,0,0,2,NaN,1.0,NaN,NaN
강경학,전반기,2015,156,39,5,1,2,21,2,31,52,23,0.25,0.346,0.333,0.679
강경학,전반기,2016,81,12,1,1,1,6,2,9,18,8,0.148,0.225,0.222,0.447
강경학,전반기,2017,82,17,2,1,0,8,1,14,21,9,0.207,0.286,0.256,0.542
강경학,전반기,2018,115,38,6,1,4,15,2,27,58,17,0.33,0.417,0.504,0.921
강경학,후반기,2014,86,19,2,3,1,11,2,13,30,13,0.221,0.323,0.349,0.6719999999999999
강경학,후반기,2015,155,41,2,3,0,19,3,36,49,22,0.265,0.356,0.316,0.6719999999999999
강경학,후반기,2016,20,4,2,1,0,2,0,1,8,2,0.2,0.273,0.4,0.673
강경학,후반기,2017,2,1,0,0,0,0,0,1,1,0,0.5,0.5,0.5,1.0
강경학,후반기,2018,130,30,5,0,1,23,2,24,38,25,0.231,0.355,0.292,0.647
강구성,전반기,2016,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강구성,전반기,2017,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강구성,전반기,2018,5,1,1,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6000000000000001
강구성,후반기,2013,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강구성,후반기,2015,5,1,1,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6000000000000001
강구성,후반기,2016,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강민국,전반기,2015,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강민국,전반기,2016,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강민국,후반기,2014,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강민국,후반기,2016,21,3,1,0,1,2,0,1,7,2,0.143,0.217,0.333,0.55
강민국,후반기,2018,4,1,0,0,0,0,0,1,1,0,0.25,0.25,0.25,0.5
강민호,전반기,2005,147,30,7,1,1,4,1,21,42,5,0.204,0.23,0.286,0.516
강민호,전반기,2006,225,55,11,0,4,9,6,40,78,15,0.244,0.292,0.347,0.639
강민호,전반기,2007,261,65,11,0,7,23,4,47,97,27,0.249,0.319,0.372,0.6910000000000001
강민호,전반기,2008,329,97,19,1,14,33,7,63,160,40,0.295,0.371,0.486,0.857
강민호,전반기,2009,220,53,9,0,9,21,2,35,89,23,0.241,0.313,0.405,0.718
강민호,전반기,2010,293,88,13,0,15,29,4,60,146,33,0.3,0.371,0.498,0.869
강민호,전반기,2011,282,86,18,2,11,30,3,55,141,33,0.305,0.378,0.5,0.878
강민호,전반기,2012,257,69,14,0,11,30,4,44,116,34,0.268,0.354,0.451,0.8049999999999999
강민호,전반기,2013,217,52,9,0,5,42,6,38,76,48,0.24,0.377,0.35,0.727
강민호,전반기,2014,232,51,9,1,10,27,8,31,92,35,0.22,0.322,0.397,0.7190000000000001
강민호,전반기,2015,234,73,9,1,24,37,9,39,156,46,0.312,0.425,0.667,1.092
강민호,전반기,2016,251,85,18,0,14,42,6,53,145,48,0.339,0.445,0.578,1.023
강민호,전반기,2017,275,84,13,1,17,27,8,53,150,35,0.305,0.384,0.545,0.929
강민호,전반기,2018,267,72,12,0,14,17,10,46,126,27,0.27,0.337,0.472,0.8089999999999999
강민호,후반기,2004,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강민호,후반기,2005,67,22,4,1,1,1,1,16,31,2,0.328,0.348,0.463,0.8109999999999999
강민호,후반기,2006,185,48,9,0,5,14,5,34,72,19,0.259,0.328,0.389,0.7170000000000001
강민호,후반기,2007,152,47,9,0,7,14,0,31,77,14,0.309,0.367,0.507,0.874
강민호,후반기,2008,106,30,6,0,5,16,0,19,51,16,0.283,0.377,0.481,0.858
강민호,후반기,2009,42,15,4,0,0,12,1,11,19,13,0.357,0.509,0.452,0.9610000000000001
강민호,후반기,2010,117,37,6,1,8,13,4,22,69,17,0.316,0.403,0.59,0.993
강민호,후반기,2011,168,44,7,0,8,17,5,29,75,22,0.262,0.347,0.446,0.7929999999999999
강민호,후반기,2012,143,40,7,0,8,14,4,25,71,18,0.28,0.36,0.497,0.857
강민호,후반기,2013,110,25,4,0,6,18,5,15,47,23,0.227,0.361,0.427,0.788
강민호,후반기,2014,78,20,5,1,6,6,5,8,45,11,0.256,0.348,0.577,0.9249999999999999
강민호,후반기,2015,146,45,9,0,11,23,5,25,87,28,0.308,0.42,0.596,1.016
강민호,후반기,2016,130,38,8,0,6,24,4,24,64,28,0.292,0.418,0.492,0.9099999999999999
강민호,후반기,2017,181,46,9,0,5,14,7,32,70,21,0.254,0.332,0.387,0.7190000000000001
강민호,후반기,2018,160,43,2,0,8,12,4,33,69,16,0.269,0.335,0.431,0.766
강백호,전반기,2018,301,89,21,1,16,28,2,51,160,30,0.296,0.36,0.532,0.892
강백호,후반기,2018,226,64,11,1,13,24,1,39,116,25,0.283,0.355,0.513,0.868
강상원,전반기,2017,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
강상원,전반기,2018,6,0,0,0,0,1,0,0,0,1,0.0,0.143,0.0,0.143
강상원,후반기,2017,10,3,1,0,0,0,0,2,4,0,0.3,0.3,0.4,0.7
강승호,전반기,2016,37,6,3,0,0,2,0,3,9,2,0.162,0.205,0.243,0.44799999999999995
강승호,전반기,2017,76,26,7,1,1,2,2,17,38,4,0.342,0.375,0.5,0.875
강승호,전반기,2018,94,18,4,0,1,9,2,13,25,11,0.191,0.276,0.266,0.542
강승호,후반기,2016,1,1,0,0,0,0,0,1,1,0,1.0,1.0,1.0,2.0
강승호,후반기,2017,172,36,7,1,4,5,1,24,57,6,0.209,0.236,0.331,0.567
강승호,후반기,2018,90,29,6,0,2,9,1,21,41,10,0.322,0.39,0.456,0.8460000000000001
강진성,전반기,2017,13,5,1,0,0,1,1,4,6,2,0.385,0.467,0.462,0.929
강진성,전반기,2018,61,15,3,0,0,3,0,12,18,3,0.246,0.281,0.295,0.5760000000000001
강진성,후반기,2013,2,1,1,0,0,1,0,0,2,1,0.5,0.667,1.0,1.667
강진성,후반기,2017,14,3,2,0,1,3,0,0,8,3,0.214,0.353,0.571,0.9239999999999999
강진성,후반기,2018,7,1,0,0,0,1,0,1,1,1,0.143,0.25,0.143,0.393
강한울,전반기,2014,146,41,4,4,0,5,1,33,53,6,0.281,0.309,0.363,0.6719999999999999
강한울,전반기,2015,235,50,8,2,0,13,3,40,62,16,0.213,0.263,0.264,0.527
강한울,전반기,2016,147,42,6,3,0,8,0,33,54,8,0.286,0.323,0.367,0.69
강한울,전반기,2017,249,74,7,1,0,15,0,66,83,15,0.297,0.337,0.333,0.67
강한울,전반기,2018,180,47,5,1,0,12,1,41,54,13,0.261,0.311,0.3,0.611
강한울,후반기,2014,62,14,1,0,0,3,0,13,15,3,0.226,0.262,0.242,0.504
강한울,후반기,2015,29,4,0,1,0,0,0,3,6,0,0.138,0.138,0.207,0.345
강한울,후반기,2016,151,39,7,0,0,7,0,32,46,7,0.258,0.291,0.305,0.596
강한울,후반기,2017,163,51,2,2,0,11,0,47,57,11,0.313,0.356,0.35,0.706
강한울,후반기,2018,13,3,0,1,0,0,0,2,5,0,0.231,0.231,0.385,0.616
고명성,후반기,2018,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
고종욱,전반기,2011,49,9,3,0,0,2,0,6,12,2,0.184,0.216,0.245,0.46099999999999997
고종욱,전반기,2015,231,72,15,2,6,16,5,49,109,21,0.312,0.369,0.472,0.841
고종욱,전반기,2016,309,110,12,8,7,16,4,83,159,20,0.356,0.395,0.515,0.91
고종욱,전반기,2017,239,72,12,4,3,13,2,53,101,15,0.301,0.343,0.423,0.766
고종욱,전반기,2018,210,56,10,0,5,10,1,41,81,11,0.267,0.303,0.386,0.6890000000000001
고종욱,후반기,2011,56,17,2,4,1,3,0,10,30,3,0.304,0.339,0.536,0.875
